what,kind,bundleId,bundleVersion,description,time
arch,sysinfo,,,"x86_64",1535192617942
ws,sysinfo,,,"win32",1535192617942
locale,sysinfo,,,"en_IN",1535192617942
processors,sysinfo,,,"4",1535192617942
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1535192617942
java.runtime.version,sysinfo,,,"1.8.0_66-b18",1535192617942
java.specification.name,sysinfo,,,"Java Platform API Specification",1535192617942
java.specification.vendor,sysinfo,,,"Oracle Corporation",1535192617942
java.specification.version,sysinfo,,,"1.8",1535192617942
java.vendor,sysinfo,,,"Oracle Corporation",1535192617942
java.version,sysinfo,,,"1.8.0_66",1535192617942
java.vm.info,sysinfo,,,"mixed mode",1535192617942
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1535192617942
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1535192617942
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1535192617942
java.vm.specification.version,sysinfo,,,"1.8",1535192617942
java.vm.vendor,sysinfo,,,"Oracle Corporation",1535192617942
java.vm.version,sysinfo,,,"25.66-b18",1535192617942
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1535192618205
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1535192618706
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1535192618791
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1535192647524
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1535192648126
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1535192648173
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1535192648458
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1535192648643
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1535192699944
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1535192712820
